trade_id,timestamp_entry,timestamp_exit,side,setup_type,family_id,family_name,entry_reason,exit_reason,entry_price,exit_price,qty,gross_pnl,net_pnl,fees,slippage_cost,R_multiple,holding_time,holding_time_minutes,MFE,MAE,trend_regime,vol_regime,pre_rsi,pre_atr,pre_vwap_distance
FAM_0007_oos_00000,2025-01-04T10:23:00+00:00,2025-01-04T10:28:00+00:00,long,range_breakout,FAM_0007,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0007,range_breakout,tp,41049.5009716705,41175.01042013076,1.0,125.50944846025959,92.61964390353909,32.889804556720506,12.33367670877019,2.001492851380723,0:05:00,5.0,138.95543532949523,-22.04581867050001,uptrend,high_vol,61.689913514743516,62.7079174285713,0.00908090853799803
FAM_0007_oos_00001,2025-01-04T10:54:00+00:00,2025-01-04T11:02:00+00:00,long,range_breakout,FAM_0007,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0007,range_breakout,tp,41607.82796115845,41742.28856583118,1.0,134.46060467272764,101.12055806193179,33.34004661079585,12.502517479048445,2.0065482966288695,0:08:00,8.0,151.94866084154637,-45.22830115845136,uptrend,high_vol,61.68707819821012,67.01089871428641,0.005286579204269422
FAM_0007_oos_00002,2025-01-04T12:15:00+00:00,2025-01-04T12:19:00+00:00,long,range_breakout,FAM_0007,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0007,range_breakout,tp,41951.734172353405,42058.90151645869,1.0,107.16734410528443,73.56308982975959,33.60425427552484,12.601595353321814,1.9832316075186258,0:04:00,4.0,115.0139006465979,-17.40145935340115,uptrend,low_vol,63.135272442013864,54.03672657142982,0.012687009030241525
FAM_0007_oos_00003,2025-01-04T12:30:00+00:00,2025-01-04T12:47:00+00:00,long,range_breakout,FAM_0007,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0007,range_breakout,stop,42075.44696548926,41976.65032962349,1.0,-98.79663586577226,-132.41747478381737,33.6208389180451,12.607814594266912,-1.495313468986309,0:17:00,17.0,96.84240951074025,-112.33508948925737,uptrend,high_vol,64.90657789899147,66.07085264285914,0.016156636660723016
FAM_0007_oos_00004,2025-01-04T12:54:00+00:00,2025-01-04T13:20:00+00:00,short,range_breakout,FAM_0007,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0007,range_breakout,tp,41979.32896897805,41852.59087941791,1.0,126.73808956013818,93.20532162077978,33.532767939358386,12.574787977259394,2.0009015129049548,0:26:00,26.0,-41.676561021951784,152.35588097805157,uptrend,high_vol,40.13326563993338,63.34049364285602,0.011862094714536902
FAM_0007_oos_00005,2025-01-04T17:38:00+00:00,2025-01-04T17:40:00+00:00,long,range_breakout,FAM_0007,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0007,range_breakout,tp,40973.784115845505,41067.375176564456,1.0,93.59106071895076,60.77459700198678,32.81646371696398,12.306173893861493,1.9702968152328708,0:02:00,2.0,173.3661081544924,-15.523354845507129,uptrend,low_vol,58.0384597923092,47.500995785713066,0.010430983910759497
FAM_0007_oos_00006,2025-01-04T18:32:00+00:00,2025-01-04T18:43:00+00:00,long,range_breakout,FAM_0007,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0007,range_breakout,tp,41651.531636726606,41753.37390739865,1.0,101.84227067204483,68.48030845439473,33.3619622176501,12.510735831618788,1.978320725930556,0:11:00,11.0,113.89623227339325,-55.21937672660715,uptrend,low_vol,61.611706811344234,51.47915064285761,0.006488384566648216
FAM_0007_oos_00007,2025-01-04T19:10:00+00:00,2025-01-04T19:40:00+00:00,short,range_breakout,FAM_0007,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0007,range_breakout,tp,41912.99084318975,41806.310866718835,1.0,106.67997647091397,73.19225578695054,33.48772068396343,12.557895256486288,1.9834261628717655,0:30:00,30.0,-46.43615681025403,138.1644381897495,uptrend,high_vol,42.08491979346285,53.785706000000836,0.010065839766278187
FAM_0007_oos_00008,2025-01-04T23:34:00+00:00,2025-01-04T23:36:00+00:00,long,range_breakout,FAM_0007,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0007,range_breakout,tp,41634.595524690805,41733.75170203521,1.0,99.15617734440457,65.80883845371417,33.3473388906904,12.505252084008902,1.9752755091775305,0:02:00,2.0,125.75418930919841,-11.559515690802073,uptrend,low_vol,63.33491520480755,50.19865678571399,0.00579767050262256
FAM_0007_oos_00009,2025-01-05T01:10:00+00:00,2025-01-05T01:19:00+00:00,long,range_breakout,FAM_0007,breakdown_scalp_range_breakout_fixed_stop_fixed_tp_0007,range_breakout,stop,42654.71484463956,42554.21887809428,1.0,-100.49596654527704,-134.57954003437058,34.08357348909354,12.781340058410075,-1.4949691685223592,0:09:00,9.0,103.95473536044301,-115.2719686395576,uptrend,high_vol,63.462538593977435,67.22276864285648,0.029151237388234774
