trade_id,timestamp_entry,timestamp_exit,side,setup_type,family_id,family_name,entry_reason,exit_reason,entry_price,exit_price,qty,gross_pnl,net_pnl,fees,slippage_cost,R_multiple,holding_time,holding_time_minutes,MFE,MAE,trend_regime,vol_regime,pre_rsi,pre_atr,pre_vwap_distance
FAM_0032_oos_00000,2025-01-04T12:54:00+00:00,2025-01-04T13:20:00+00:00,short,range_breakout,FAM_0032,failed_breakdown_fade_range_breakout_fixed_stop_fixed_tp_0032,range_breakout,tp,41979.32896897805,41848.78987973489,1.0,130.53908924316056,97.00784170367538,33.53124753948518,12.57421782730694,2.0609105129041376,0:26:00,26.0,-41.676561021951784,152.35588097805157,uptrend,high_vol,40.13326563993338,63.34049364285602,0.011862094714536902
FAM_0032_oos_00001,2025-01-04T19:10:00+00:00,2025-01-04T19:40:00+00:00,short,range_breakout,FAM_0032,failed_breakdown_fade_range_breakout_fixed_stop_fixed_tp_0032,range_breakout,tp,41912.99084318975,41803.08324028749,1.0,109.90760290226171,76.42117326887083,33.48642963339089,12.557411112521585,2.0434351628705327,0:30:00,30.0,-46.43615681025403,138.1644381897495,uptrend,high_vol,42.08491979346285,53.785706000000836,0.010065839766278187
FAM_0032_oos_00002,2025-01-05T01:25:00+00:00,2025-01-05T01:27:00+00:00,short,range_breakout,FAM_0032,failed_breakdown_fade_range_breakout_fixed_stop_fixed_tp_0032,range_breakout,tp,42574.77826218445,42431.618989761824,1.0,143.15927242262842,109.15671352184991,34.00255890077851,12.750959587791941,2.0680691458216995,0:02:00,2.0,-10.065876815548108,150.50314318445453,uptrend,high_vol,28.191706258475335,69.22363921428716,0.0239296657349977
