trade_id,timestamp_entry,timestamp_exit,side,setup_type,family_id,family_name,entry_reason,exit_reason,entry_price,exit_price,qty,gross_pnl,net_pnl,fees,slippage_cost,R_multiple,holding_time,holding_time_minutes,MFE,MAE,trend_regime,vol_regime,pre_rsi,pre_atr,pre_vwap_distance
FAM_0043_oos_00000,2025-01-28T19:01:00+00:00,2025-01-28T19:03:00+00:00,long,range_breakout,FAM_0043,vwap_reversion_range_breakout_fixed_stop_fixed_tp_0043,range_breakout,tp,37959.56116121216,38031.129442938356,1.0,71.56828172619862,41.17200548453842,30.396276241660207,11.398603590622576,1.2225375658261333,0:02:00,2.0,134.52569678784494,-28.54174021216022,uptrend,high_vol,76.62912344778456,58.540762857142646,0.011817830460954436
FAM_0043_oos_00001,2025-01-28T19:20:00+00:00,2025-01-28T19:29:00+00:00,long,range_breakout,FAM_0043,vwap_reversion_range_breakout_fixed_stop_fixed_tp_0043,range_breakout,tp,38289.4535926554,38354.21960953742,1.0,64.76601688201481,34.10854760113769,30.657469280877127,11.496550980328923,1.212296180038692,0:09:00,9.0,74.86440534459689,-49.95208565540088,uptrend,low_vol,87.49175081418994,53.42425221428597,0.0037464094460903435
FAM_0043_oos_00002,2025-01-28T19:46:00+00:00,2025-01-28T19:48:00+00:00,long,range_breakout,FAM_0043,vwap_reversion_range_breakout_fixed_stop_fixed_tp_0043,range_breakout,stop,38543.784230529505,38471.412333992776,1.0,-72.37189653672976,-103.17797516253867,30.80607862580891,11.552279484678342,-1.1953258999983838,0:02:00,2.0,41.21252447049483,-71.7014525295017,uptrend,high_vol,78.91429543402326,60.54574449999979,0.00270028591406053
FAM_0043_oos_00003,2025-01-28T21:29:00+00:00,2025-01-28T21:30:00+00:00,long,range_breakout,FAM_0043,vwap_reversion_range_breakout_fixed_stop_fixed_tp_0043,range_breakout,tp,38319.89507919356,38375.502912421194,1.0,55.60783322763746,24.929674030991556,30.6781591966459,11.504309698742212,1.1961592642858536,0:01:00,1.0,100.38043980644579,-17.306191193558334,uptrend,low_vol,63.52579255762429,46.48865321428665,0.0027020770091616153
FAM_0043_oos_00004,2025-01-29T01:36:00+00:00,2025-01-29T01:38:00+00:00,long,range_breakout,FAM_0043,vwap_reversion_range_breakout_fixed_stop_fixed_tp_0043,range_breakout,tp,37287.3527280696,37349.88818450337,1.0,62.53545643376856,32.68056006873937,29.85489636502919,11.195586136885947,1.2114511339525769,0:02:00,2.0,94.77695993040106,-30.364300069602905,uptrend,high_vol,70.3975007227155,51.62028799999877,0.03070281236895977
FAM_0043_oos_00005,2025-01-29T01:54:00+00:00,2025-01-29T01:56:00+00:00,long,range_breakout,FAM_0043,vwap_reversion_range_breakout_fixed_stop_fixed_tp_0043,range_breakout,tp,37469.85929494885,37519.8416833704,1.0,49.98238842155115,19.98650803022345,29.9958803913277,11.248455146747887,1.186393065438905,0:02:00,2.0,83.87655405114492,-12.286465948855039,uptrend,low_vol,65.97025124325859,42.12970378571273,0.025223430404513067
FAM_0043_oos_00006,2025-01-29T02:19:00+00:00,2025-01-29T02:20:00+00:00,long,range_breakout,FAM_0043,vwap_reversion_range_breakout_fixed_stop_fixed_tp_0043,range_breakout,tp,37497.816810947304,37567.389566519254,1.0,69.57275557194953,39.546673020962906,30.026082550986622,11.259780956619984,1.221082479489582,0:01:00,1.0,80.24992605269654,-24.63856394730101,uptrend,high_vol,64.17940620862402,56.976294999998835,0.023927506506132522
FAM_0043_oos_00007,2025-01-29T03:16:00+00:00,2025-01-29T03:18:00+00:00,long,range_breakout,FAM_0043,vwap_reversion_range_breakout_fixed_stop_fixed_tp_0043,range_breakout,tp,37717.81084710361,37782.184774009394,1.0,64.37392690578417,34.173928657338976,30.1999982484452,11.324999343166951,1.2131786116043146,0:02:00,2.0,128.58712489638856,-10.660080103611108,uptrend,high_vol,62.14643343071768,53.06220064285714,0.018033903350315753
FAM_0043_oos_00008,2025-01-29T03:32:00+00:00,2025-01-29T03:39:00+00:00,long,range_breakout,FAM_0043,vwap_reversion_range_breakout_fixed_stop_fixed_tp_0043,range_breakout,tp,37843.2139647501,37915.84585639142,1.0,72.63189164131472,42.328267712858114,30.30362392845661,11.363858973171228,1.2241311021669135,0:07:00,7.0,78.63382224989618,-25.149722750102228,uptrend,high_vol,59.54334000740647,59.333425571427924,0.014974855277961571
FAM_0043_oos_00009,2025-01-29T07:09:00+00:00,2025-01-29T07:10:00+00:00,long,range_breakout,FAM_0043,vwap_reversion_range_breakout_fixed_stop_fixed_tp_0043,range_breakout,tp,37059.184737003954,37127.37715903022,1.0,68.19242202626629,38.517797267852615,29.674624758413668,11.127984284405125,1.2203241881115436,0:01:00,1.0,106.13588399604487,-7.943035003954719,uptrend,high_vol,68.80995221564699,55.88057885714287,0.03577755072574307
