trade_id,timestamp_entry,timestamp_exit,side,setup_type,family_id,family_name,entry_reason,exit_reason,entry_price,exit_price,qty,gross_pnl,net_pnl,fees,slippage_cost,R_multiple,holding_time,holding_time_minutes,MFE,MAE,trend_regime,vol_regime,pre_rsi,pre_atr,pre_vwap_distance
FAM_0077_oos_00000,2025-01-29T01:36:00+00:00,2025-01-29T01:41:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,tp,37287.3527280696,37421.113496543745,1.0,133.76076847414515,103.87738198429982,29.883386489845336,11.206269933692,2.591244133925737,0:05:00,5.0,148.0487889303986,-30.364300069602905,uptrend,high_vol,70.3975007227155,51.62028799999877,0.03070281236895977
FAM_0077_oos_00001,2025-01-29T01:54:00+00:00,2025-01-29T02:09:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,time,37469.85929494885,37487.2233809038,1.0,17.364085954948678,-12.618747115392384,29.982833070341062,11.243562401377899,0.41215779828067844,0:15:00,15.0,84.29905805114686,-42.49059494885296,uptrend,low_vol,65.97025124325859,42.12970378571273,0.025223430404513067
FAM_0077_oos_00002,2025-01-29T07:09:00+00:00,2025-01-29T07:24:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,time,37059.184737003954,37052.95487995145,1.0,-6.229857052501757,-35.87471289928392,29.644855846782164,11.11682094254331,-0.11148519181085662,0:15:00,15.0,127.74189899604244,-40.401302003956516,uptrend,high_vol,68.80995221564699,55.88057885714287,0.03577755072574307
FAM_0077_oos_00003,2025-01-29T07:39:00+00:00,2025-01-29T07:50:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,tp,37103.903093751454,37233.93441135054,1.0,130.03131759908865,100.29618259704785,29.7351350020408,11.1506756257653,2.5887899125796165,0:11:00,11.0,181.25314124854776,-61.27308375145367,uptrend,low_vol,65.45595274407567,50.228609499999685,0.03471514632160381
FAM_0077_oos_00004,2025-01-29T08:13:00+00:00,2025-01-29T08:26:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,tp,37299.05527218796,37439.4098449624,1.0,140.3545727744422,110.45918672758205,29.895386046860146,11.210769767572554,2.5961081185206263,0:13:00,13.0,154.43537081203976,-11.434928187954938,uptrend,high_vol,68.27632360976914,54.06345435714216,0.029768225581318475
FAM_0077_oos_00005,2025-01-29T08:39:00+00:00,2025-01-29T08:44:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,tp,37496.58111762111,37629.86542327291,1.0,133.28430565180315,103.23372703544555,30.050578616357605,11.268966981134103,2.590287035153861,0:05:00,5.0,140.77241037889326,-13.907279621103953,uptrend,low_vol,71.65240308058654,51.45541935714313,0.024709660307388255
FAM_0077_oos_00006,2025-01-29T08:53:00+00:00,2025-01-29T08:56:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,tp,37719.51928833135,37868.259956938426,1.0,148.74066860707535,118.50555690896743,30.23511169810791,11.338166886790466,2.6006684928671775,0:03:00,3.0,157.70891866864986,-18.858721331351262,uptrend,high_vol,81.80008603402233,57.19324435714277,0.017155869756710487
FAM_0077_oos_00007,2025-01-29T12:17:00+00:00,2025-01-29T12:26:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,stop,37455.46353190825,37348.699656587945,1.0,-106.7638753203064,-136.68554059570488,29.921665275398478,11.220624478274429,-1.8996993770517576,0:09:00,9.0,51.052187091750966,-112.8722569082529,uptrend,high_vol,64.76828789302579,56.20040550000028,0.025453432795618836
FAM_0077_oos_00008,2025-01-29T13:44:00+00:00,2025-01-29T13:59:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,time,37057.06565118875,37096.5043875453,1.0,39.43873635654745,9.777308341053832,29.66142801549362,11.123035505810106,0.718385792887064,0:15:00,15.0,117.53483781124669,-85.6138361887497,uptrend,high_vol,89.7084700800718,54.89910399999956,0.036337332641666074
FAM_0077_oos_00009,2025-01-29T14:22:00+00:00,2025-01-29T14:30:00+00:00,long,range_breakout,FAM_0077,trend_reentry_scalp_range_breakout_fixed_stop_fixed_tp_0077,range_breakout,stop,37097.480613523905,36993.24907264718,1.0,-104.23154087672447,-133.8678327511929,29.63629187446843,11.113609452925662,-1.9012312674725689,0:08:00,8.0,46.984425476097385,-100.88827252390183,uptrend,high_vol,64.42736662658267,54.823178357141714,0.035560706655190864
