source_file,candidate,total_trades,net_profit,ending_equity,drawdown_pct,win_rate_pct,profit_factor,matches_source_truth
trade_journal,FAM_0043,213,8690.333971025888,18690.333971025888,-4.45566255614805,78.87323943661971,2.4002817601574695,TRUE
family_backtest_results.csv,FAM_0043,998,8690.333971025888,18690.333971025888,-4.751559394621471,,2.4002817601574695,FALSE
mt4_style_report_section6,FAM_0043,998.0,8690.33,18690.333971025888,-4.75,78.87,2.4,FALSE
trade_journal,FAM_0042,199,6967.763588357569,16967.763588357568,-7.825021832761587,70.35175879396985,2.3668266400841307,TRUE
family_backtest_results.csv,FAM_0042,936,6967.763588357569,16967.763588357568,-7.825021832761604,,2.3668266400841307,FALSE
mt4_style_report_section6,FAM_0042,936.0,6967.76,16967.763588357568,-7.83,0.0,2.367,FALSE
trade_journal,FAM_0003,221,4018.1514674926407,14018.15146749264,-4.809612866767803,85.06787330316742,2.2962029965252144,TRUE
family_backtest_results.csv,FAM_0003,1057,4018.1514674926407,14018.15146749264,-6.054827876979392,,2.2962029965252144,FALSE
mt4_style_report_section6,FAM_0003,1057.0,4018.15,14018.15146749264,-6.05,0.0,2.296,FALSE
trade_journal,FAM_0082,245,11482.229889141428,21482.22988914143,-5.573251275065108,82.0408163265306,3.0735844658115172,TRUE
family_backtest_results.csv,FAM_0082,1140,11482.229889141428,21482.22988914143,-5.573251275065093,,3.0735844658115172,FALSE
mt4_style_report_section6,FAM_0082,1140.0,11482.23,21482.22988914143,-5.57,0.0,3.074,FALSE
trade_journal,FAM_0107,222,4258.990166254512,14258.990166254513,-3.205251904367503,80.63063063063063,2.284765321964904,TRUE
family_backtest_results.csv,FAM_0107,1061,4258.990166254512,14258.990166254513,-4.540771260844478,,2.284765321964904,FALSE
mt4_style_report_section6,FAM_0107,1061.0,4258.99,14258.990166254513,-4.54,0.0,2.285,FALSE
fam_0039_deep_dive.json,FAM_0039,191,3113.8129090406414,13113.812909040642,-4.8202553284070415,82.72251308900523,1.8825240989017487,FALSE
fam_0053_deep_dive.json,FAM_0053,13,-439.90034386470626,9560.099656135293,-3.4617550400423016,46.15384615384615,0.47265084072650904,FALSE
